,reward
394,-0.28968759266112487
395,-0.4058176445934555
396,-0.34781118590303906
397,0.6253915514552654
398,0.8831793536074038
399,13.063857147877714
400,-0.23484456186585512
401,-0.29449232794501945
402,-0.8360931328246957
403,0.6257238092984253
404,0.4435682458722423
405,13.046385141157721
406,0.9357981231129748
407,-0.33054387824173415
408,-0.7732397406029964
409,-0.42703526608154674
410,0.540356245896633
411,0.3930594053599964
412,-0.04988451375894043
413,0.6731251190558802
414,14.030070346746694
415,-0.25569944377231946
416,-0.006877106552569789
417,-0.10686662231440225
418,0.7698251705703159
419,13.070591823395134
420,13.049121319700431
421,-0.09535642236811004
422,0.6119004617643822
423,-0.06342573420635245
424,0.8587442215746061
425,-0.293055773412108
426,0.3773424991753511
427,0.9545238342982082
428,0.9198925031209841
429,-0.814121353156208
430,0.7898760486370353
431,13.05280370543031
432,0.8212603028036392
433,-0.30904587297382424
434,0.8987353764313564
435,13.077893918182262
436,13.038223331088023
437,13.029318699877757
438,13.050354807470576
439,0.8748345430041956
440,13.091261247532337
441,13.100848110126186
442,13.084829043046053
443,13.07751601850241
444,-0.18060100416292846
445,0.4514726661829078
446,-0.38944534964939126
447,13.071803944529293
448,-0.27575172606348286
449,13.045181896289705
450,-0.20410523784579626
451,13.066604248720154
452,13.0769489369
453,-0.13950476693987657
454,-0.5488885204347903
455,13.05152097841416
456,-0.057645425478330514
457,13.051265189626772
458,-0.10045959716618191
459,-0.6816788411280736
460,13.039881477571729
461,13.093009485659298
462,13.045006655810734
463,13.06701769623157
464,14.03578080040839
465,13.04297761491874
466,-0.12327338267831855
467,0.5429974911223457
468,13.034030848007802
469,-0.247844587753986
470,-0.05517024664817605
471,14.048196136990862
472,13.02790407069686
473,13.059765670614393
474,13.07752630507263
475,13.055488475610494
476,13.03625750079227
477,13.08849815644763
478,13.065449125800628
479,13.036119700745592
480,-0.08525060466972545
481,13.056248436985236
482,-0.3965354270042234
483,13.049845699577821
484,-0.07583898499480135
485,13.044746561467626
486,13.033693639762737
487,-0.9891329997751068
488,-0.7957757574670927
489,13.053462133919773
490,14.055538755723898
491,14.047237806259641
492,13.052365594935814
493,13.046891161882574
494,14.067251353559513
495,13.077077903720017
496,-0.39142397830182984
497,-0.7171888647358727
498,13.037353161902708
499,13.060259674375061
500,13.04439979502123
501,13.057597834706256
502,13.03598948521674
503,13.0576622910338
504,13.080723672457921
505,-0.9292785981424041
